CSCX;CSC;Predio;Direccion;Pais;Departamento;Municipio;latitud;longitud
2096;2111;CONJUNTO RESIDENCIAL BOSQUE DE SAIJA;CARRERA 125  2-235;COLOMBIA;Valle del cauca;CALI;L;L%&
2100;372;CONJUNTO ACUARELAS DE PANCE;CARRERA 125  5-85;COLOMBIA;Valle del cauca;CALI;L;L%&
2102;2432;CONDOMINIO PORTALES DE LA MARIA  II;CARRERA 126 B  PARCELACION ALFEREZ REAL;COLOMBIA;Valle del cauca;CALI;L;L%&
2107;18;CONJUNTO RESIDENCIAL GALICIA;CARRERA 127  20-100;COLOMBIA;Valle del cauca;CALI;L;L%&
2108;1855;RESIDENCIAL  PARAISO DEL RIO;CARRERA 127  9 - 100;COLOMBIA;Valle del cauca;CALI;L;L%&
2109;1435;CONJUNTO RESIDENCIAL RIO PANCE;CARRERA 127  9-200;COLOMBIA;Valle del cauca;CALI;L;L%&
2111;2325;CONJUNTO RESIDENCIAL  ENTRESAUCES;CARRERA 129 A  3 -100;COLOMBIA;Valle del cauca;CALI;L;L%&
2115;2341;CONJUNTO RESIDENCIAL CALLEJON DEL BOSQUE;CARRERA 130  11 -153;COLOMBIA;Valle del cauca;CALI;L;L%&
2117;2833;CONJUNTO CAMPETRE EL ENCENILLO;CARRERA 138  3-60;COLOMBIA;Valle del cauca;CALI;L;L%&
2118;2992;CONDOMINIO RESIDENCIAL BATIK;CARRERA 138  4 - 133;COLOMBIA;Valle del cauca;CALI;L;L%&
2120;2760;ALTOPANCE CONDOMINIO CAMPESTRE ETAPA 1 PROPIEDAD HORIZONTAL ;CARRERA 140  3-05;COLOMBIA;Valle del cauca;CALI;L;L%&
2121;2283;CONDOMINIO CAMPESTRE LLA DE PIEDRA;CARRERA 142  21-115;COLOMBIA;Valle del cauca;CALI;L;L%&
2123;1850;CONDOMINIO SOL DE PANCE;CARRERA 142  22-210;COLOMBIA;Valle del cauca;CALI;L;L%&
2124;1871;CONDOMINIOS SOLARES DE PANCE I ;CARRERA 144  5 C 190;COLOMBIA;Valle del cauca;CALI;L;L%&
2125;1856;CONDOMINIO SOLARES DE PANCE II;CARRERA 144  5-C155;COLOMBIA;Valle del cauca;CALI;L;L%&
2126;81;BELLO HORIZONTE CONDOMINIO CAMPESTRE;CARRERA 146  19-81;COLOMBIA;Valle del cauca;CALI;L;L%&
2127;941;Condominio tierras de chiminango;CARRERA 148 CALLE ;COLOMBIA;Valle del cauca;CALI;L;L%&
2128;1573;PARCELACION TIERRAS DE CHIMINAGO;CARRERA 148  6-31;COLOMBIA;Valle del cauca;CALI;L;L%&
2129;1378;CONDOMINIO ALAMEDA DE PANCE;CARRERA 148  6-75;COLOMBIA;Valle del cauca;CALI;L;L%&
2132;2293;BOSQUES DE LA  VIGA  CONDOMINIO CAMPESTRE  ;CARRERA 154  18 -75;COLOMBIA;Valle del cauca;CALI;L;L%&
2133;2197;CONDOMINIO CAMPESTRE PIEDRALINDA;CARRERA 154  20 -75;COLOMBIA;Valle del cauca;CALI;L;L%&
2134;2459;CONJUNTO RESIDENCIAL TERRACO CONDOMINIO  6 MANZANA  A;CARRERA 159  19-150;COLOMBIA;Valle del cauca;CALI;L;L%&
2135;2340;CONJUNTO RESIDENCIAL AGUAS CALIENTES II;CARRERA 159  20-155;COLOMBIA;Valle del cauca;CALI;L;L%&
2271;580;EDIFICIO DOS ELES;CARRERA 23  5A-31/37;COLOMBIA;Valle del cauca;CALI;L;L%&
2264;2707;EDIFICIO 20  URBANIZACION RIO CAUCA ;CARRERA 23  75 B -34;COLOMBIA;Valle del cauca;CALI;L;L%&
2265;2708;EDIFICIO 23  URBANIZACION RIO CAUCA ;CARRERA 23  75 B -76;COLOMBIA;Valle del cauca;CALI;L;L%&
2266;2709;EDIFICIO 24  URBANIZACION RIO CAUCA ;CARRERA 23  75 B -90;COLOMBIA;Valle del cauca;CALI;L;L%&
2267;2724;EDIFICIO  21  URBANIZACION RIO CAUCA ;CARRERA 23  75 B-48;COLOMBIA;Valle del cauca;CALI;L;L%&
2332;2938;BIFAMILIAR ZARAMA;CARRERA 26  56-05;COLOMBIA;Valle del cauca;CALI;L;L%&
2359;350;EDIFICIO EL RINCON  ;CARRERA 2A OESTE  7 - 92 / 100;COLOMBIA;Valle del cauca;CALI;L;L%&
2360;1677;EDIFICIO LA COLINA ;CARRERA 2A OESTE  7-121;COLOMBIA;Valle del cauca;CALI;L;L%&
2361;812;EDIFICIO TERRACOTA;CARRERA 2A OESTE  7-185;COLOMBIA;Valle del cauca;CALI;L;L%&
2395;2648;EDIFICIO MULTIFAMILIAR JIREH;CARRERA 3 OESTE N o13 -37;COLOMBIA;Valle del cauca;CALI;L;L%&
2401;184;EDIFICIO AVENIDA ISAACS;CARRERA 3 OESTE  1-08;COLOMBIA;Valle del cauca;CALI;L;L%&
2403;538;EDIFICIO ENTRE LOMAS;CARRERA 3 OESTE  11-110;COLOMBIA;Valle del cauca;CALI;L;L%&
2404;1018;EDIFICIO ALCAZABA;CARRERA 3 OESTE  11-261;COLOMBIA;Valle del cauca;CALI;L;L%&
2405;1551;EDIFICIO TERRAVA;CARRERA 3 OESTE  11-275;COLOMBIA;Valle del cauca;CALI;L;L%&
2406;603;EDIFICIO LADERA;CARRERA 3 OESTE  11-291;COLOMBIA;Valle del cauca;CALI;L;L%&
2407;1095;CONJUNTO RESIDENCIAL San Antonio del peñon;CARRERA 3 OESTE  1-25/27/29/35/39;COLOMBIA;Valle del cauca;CALI;L;L%&
2409;680;EDIFICIO LAS COLINAS;CARRERA 3 OESTE  2-14 Y CALLE 2  2-42/46 OESTE;COLOMBIA;Valle del cauca;CALI;L;L%&
2397;2082;EDIFICIO PUNTA OESTE ;CARRERA 3 OESTE  5 -59;COLOMBIA;Valle del cauca;CALI;L;L%&
2398;2177;EDIFICIO ALTO PALERMO;CARRERA 3 OESTE  5-124/128;COLOMBIA;Valle del cauca;CALI;L;L%&
2399;2151;EDIFICIO EL BARRANCO ;CARRERA 3 OESTE  5-13;COLOMBIA;Valle del cauca;CALI;L;L%&
2414;630;EDIFICIO VILLAMAYOR;CARRERA 3 OESTE  5-80;COLOMBIA;Valle del cauca;CALI;L;L%&
2417;341;EDIFICIO NAVENIDAAR;CARRERA 3 OESTE  7-61;COLOMBIA;Valle del cauca;CALI;L;L%&
2418;365;EDIFICIO ARBOLEDA;CARRERA 3 OESTE  9-170;COLOMBIA;Valle del cauca;CALI;L;L%&
2419;912;CONJUNTO RESIDENCIAL ALTOS DE LA ARBOLEDA;CARRERA 3 OESTE  9-198;COLOMBIA;Valle del cauca;CALI;L;L%&
2420;1104;EDIFICIO Horizontes;CARRERA 3 OESTE  9-86;COLOMBIA;Valle del cauca;CALI;L;L%&
2435;1457;Bodegas Gleason;CARRERA 32  6-69;COLOMBIA;Valle del cauca;CALI;L;L%&
2455;1483;EDIFICIO Calicanto;CARRERA 35A  3Bis-36;COLOMBIA;Valle del cauca;CALI;L;L%&
